scalar,RGB_r,RGB_g,RGB_b
0.41095890411,200,213,243
0.412915851272,201,213,243
0.414872798434,201,213,243
0.416829745597,202,214,242
0.418786692759,202,214,242
0.420743639922,203,214,241
0.422700587084,203,215,241
0.424657534247,204,215,241
0.426614481409,204,215,240
0.428571428571,205,215,240
0.430528375734,205,216,239
0.432485322896,205,216,239
0.434442270059,206,216,238
0.436399217221,206,216,238
0.438356164384,207,216,238
0.440313111546,207,217,237
0.442270058708,208,217,237
0.444227005871,208,217,236
0.446183953033,209,217,236
0.448140900196,209,217,235
0.450097847358,210,218,235
0.452054794521,210,218,234
0.454011741683,211,218,234
0.455968688845,211,218,233
0.457925636008,212,218,233
0.45988258317,212,219,232
0.461839530333,212,219,232
0.463796477495,213,219,231
0.465753424658,213,219,231
0.46771037182,214,219,230
0.469667318982,214,219,230
0.471624266145,215,219,229
0.473581213307,215,220,228
0.47553816047,215,220,228
0.477495107632,216,220,227
0.479452054795,216,220,227
0.481409001957,217,220,226
0.483365949119,217,220,226
0.485322896282,218,220,225
0.487279843444,218,220,225
0.489236790607,218,220,224
0.491193737769,219,220,223
0.493150684932,219,220,223
0.495107632094,220,221,222
0.497064579256,220,221,222
0.499021526419,220,221,221
0.500978473581,221,221,220
0.502935420744,221,220,220
0.504892367906,222,220,219
0.506849315068,222,220,218
0.508806262231,223,220,218
0.510763209393,223,219,217
0.512720156556,224,219,216
0.514677103718,224,219,215
0.516634050881,225,219,215
0.518590998043,225,218,214
0.520547945205,226,218,213
0.522504892368,226,218,213
0.52446183953,226,218,212
0.526418786693,227,217,211
0.528375733855,227,217,210
0.530332681018,228,217,210
0.53228962818,228,216,209
0.534246575342,228,216,208
0.536203522505,229,216,207
0.538160469667,229,215,207
0.54011741683,230,215,206
0.542074363992,230,215,205
0.544031311155,230,215,204
0.545988258317,231,214,204
0.547945205479,231,214,203
0.549902152642,231,214,202
0.551859099804,232,213,202
0.553816046967,232,213,201
0.555772994129,232,212,200
0.557729941292,233,212,199
0.559686888454,233,212,199
0.561643835616,233,211,198
0.563600782779,234,211,197
0.565557729941,234,211,196
0.567514677104,234,210,196
0.569471624266,235,210,195
0.571428571429,235,209,194
0.573385518591,235,209,193
0.575342465753,236,209,192
0.577299412916,236,208,192
0.579256360078,236,208,191
0.581213307241,236,207,190
0.583170254403,237,207,189
0.585127201566,237,206,189
0.587084148728,237,206,188
0.58904109589,237,206,187
0.590998043053,238,205,186
0.592954990215,238,205,186
0.594911937378,238,204,185
0.59686888454,238,204,184
0.598825831703,239,203,183
0.600782778865,239,203,182
0.602739726027,239,202,182
0.60469667319,239,202,181
0.606653620352,239,201,180
0.608610567515,240,201,179
0.610567514677,240,200,179
0.61252446184,240,200,178
0.614481409002,240,199,177
0.616438356164,240,199,176
0.618395303327,241,198,175
0.620352250489,241,198,175
0.622309197652,241,197,174
0.624266144814,241,197,173
0.626223091977,241,196,172
0.628180039139,241,196,172
0.630136986301,242,195,171
0.632093933464,242,195,170
0.634050880626,242,194,169
0.636007827789,242,194,168
0.637964774951,242,193,168
0.639921722114,242,192,167
0.641878669276,242,192,166
0.643835616438,242,191,165
0.645792563601,242,191,164
0.647749510763,243,190,164
0.649706457926,243,190,163
0.651663405088,243,189,162
0.65362035225,243,188,161
0.655577299413,243,188,161
0.657534246575,243,187,160
0.659491193738,243,187,159
0.6614481409,243,186,158
0.663405088063,243,185,157
0.665362035225,243,185,157
0.667318982387,243,184,156
0.66927592955,243,183,155
0.671232876712,243,183,154
0.673189823875,243,182,153
0.675146771037,243,182,153
0.6771037182,243,181,152
0.679060665362,243,180,151
0.681017612524,243,180,150
0.682974559687,243,179,150
0.684931506849,243,178,149
0.686888454012,243,178,148
0.688845401174,243,177,147
0.690802348337,243,176,146
0.692759295499,243,176,146
0.694716242661,243,175,145
0.696673189824,243,174,144
0.698630136986,243,173,143
0.700587084149,243,173,142
0.702544031311,243,172,142
0.704500978474,243,171,141
0.706457925636,243,171,140
0.708414872798,243,170,139
0.710371819961,243,169,139
0.712328767123,243,169,138
0.714285714286,243,168,137
0.716242661448,242,167,136
0.718199608611,242,166,135
0.720156555773,242,166,135
0.722113502935,242,165,134
0.724070450098,242,164,133
0.72602739726,242,163,132
0.727984344423,242,163,132
0.729941291585,242,162,131
0.731898238748,242,161,130
0.73385518591,241,160,129
0.735812133072,241,160,128
0.737769080235,241,159,128
0.739726027397,241,158,127
0.74168297456,241,157,126
0.743639921722,241,157,125
0.745596868885,240,156,125
0.747553816047,240,155,124
0.749510763209,240,154,123
0.751467710372,240,153,122
0.753424657534,240,153,122
0.755381604697,239,152,121
0.757338551859,239,151,120
0.759295499022,239,150,119
0.761252446184,239,149,119
0.763209393346,239,149,118
0.765166340509,238,148,117
0.767123287671,238,147,116
0.769080234834,238,146,115
0.771037181996,238,145,115
0.772994129159,237,144,114
0.774951076321,237,144,113
0.776908023483,237,143,112
0.778864970646,237,142,112
0.780821917808,236,141,111
0.782778864971,236,140,110
0.784735812133,236,139,110
0.786692759295,236,139,109
0.788649706458,235,138,108
0.79060665362,235,137,107
0.792563600783,235,136,107
0.794520547945,234,135,106
0.796477495108,234,134,105
0.79843444227,234,133,104
0.800391389432,233,133,104
0.802348336595,233,132,103
0.804305283757,233,131,102
0.80626223092,232,130,101
0.808219178082,232,129,101
0.810176125245,232,128,100
0.812133072407,231,127,99
0.814090019569,231,126,99
0.816046966732,231,125,98
0.818003913894,230,124,97
0.819960861057,230,124,96
